Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,PredPoss,ModelScore_A,ModelScore_B,ModelTotal,HomeModelSpread,AwayModelSpread,WinProb_A_pct,PredictedMargin,PredictedWinner,PredictedScoreboard,HomeValue,AwayValue,EdgeSide,EdgeTeam,EdgePoints,TotalEdge
11/21/2025,LSU Tigers,Omaha Mavericks,LSU,Nebraska Omaha,LSU,Nebraska Omaha,-20.5,20.5,167.5,118.751,107.959,101.003,113.14,17.7476,-5.1813,71.2099,70.9035,3.6,3.5,71.0563697,84.4,72.3,156.6,-20.25,20.25,96.693,20.3,LSU,LSU 84 – Nebraska Omaha 72,-0.25,0.25,AWAY,Nebraska Omaha,0.25,-10.9
11/21/2025,Loyola (Chi) Ramblers,Northern Illinois Huskies,Loyola Chicago,Northern Illinois,Loyola Chicago,Northern Illinois,-14.5,14.5,151.5,108.954,103.129,111.211,114.207,-2.2571,-11.0784,68.1782,71.0035,3.5,2.2,69.5621741,79.5,72.6,152.2,-9.99,9.99,84.083,10,Loyola Chicago,Loyola Chicago 80 – Northern Illinois 73,-4.51,4.51,AWAY,Northern Illinois,4.51,0.7
11/21/2025,Texas A&M Aggies,Manhattan Jaspers,Texas A&M,Manhattan,Texas A&M,Manhattan,-23.5,23.5,163.5,114.271,106.91,101.948,116.792,12.3224,-9.88228,72.2718,70.4171,3,1.7,71.33239611,84.1,72.8,156.9,-19.14,19.14,96.045,19.1,Texas A&M,Texas A&M 84 – Manhattan 73,-4.36,4.36,AWAY,Manhattan,4.36,-6.6
11/21/2025,SMU Mustangs,Arkansas St Red Wolves,SMU,Arkansas St.,SMU,Arkansas St.,-18.5,18.5,173.5,117.893,107.615,101.897,108.878,15.9966,-1.26349,72.4065,73.6996,3.2,2.5,73.04732776,84.6,74.8,159.3,-16.13,16.13,93.632,16.1,SMU,SMU 85 – Arkansas St. 75,-2.37,2.37,AWAY,Arkansas St.,2.37,-14.2
11/21/2025,Colorado Buffaloes,UC Davis Aggies,Colorado,UC Davis,Colorado,UC Davis,-15.5,15.5,152.5,115.273,100.997,105.883,104.714,9.39003,-3.71705,70.9496,70.6466,3.9,1.7,70.79777581,80,71.1,151.1,-13.57,13.57,90.565,13.6,Colorado,Colorado 80 – UC Davis 71,-1.93,1.93,AWAY,UC Davis,1.93,-1.4
11/21/2025,Colorado St Rams,Denver Pioneers,Colorado St.,Denver,Colorado St.,Denver,-17.5,17.5,151.5,120.481,104.54,105.457,116.027,15.0237,-11.4861,67.416,69.4527,3.7,3.5,68.41919625,82.9,69.8,152.7,-22.21,22.21,97.59,22.2,Colorado St.,Colorado St. 83 – Denver 70,4.71,-4.71,HOME,Colorado St.,4.71,1.2
11/21/2025,Fresno St Bulldogs,New Orleans Privateers,Fresno St.,New Orleans,Fresno St.,New Orleans,-5.5,5.5,152.5,105.603,106.001,108.256,109.195,-2.6526,-3.19378,71.4578,71.9703,2.5,2.4,71.71313436,78.4,75.5,153.8,-3.14,3.14,62.785,3.1,Fresno St.,Fresno St. 78 – New Orleans 76,-2.36,2.36,AWAY,New Orleans,2.36,1.3
11/21/2025,Xavier Musketeers,Georgia Bulldogs,Xavier,Georgia,Xavier,Georgia,10.5,-10.5,165.5,109.657,118.174,103.096,99.1839,6.56185,18.9905,72.4923,74.8264,3.4,3.6,73.6408594,78.8,79.6,158.4,5.41,-5.41,28.862,5.4,Georgia,Xavier 79 – Georgia 80,5.09,-5.09,HOME,Xavier,5.09,-7.1
11/21/2025,Grand Canyon Antelopes,Northwestern St Demons,Grand Canyon,Northwestern St.,Grand Canyon,Northwestern St.,-18.5,18.5,147.5,110.8,103.806,103.453,115.515,7.34721,-11.7086,71.6798,67.2493,3.6,2.3,69.39390486,80.5,69.9,150.4,-17.18,17.18,94.603,17.2,Grand Canyon,Grand Canyon 80 – Northwestern St. 70,-1.32,1.32,AWAY,Northwestern St.,1.32,2.9
11/21/2025,New Mexico St Aggies,Samford Bulldogs,New Mexico St.,Samford,New Mexico St.,Samford,-8.5,8.5,144.5,107.852,107.088,105.362,112.228,2.48933,-5.14077,68.2266,68.8639,3.6,2.9,68.54376867,77.4,70.8,148.2,-9.19,9.19,82.225,9.2,New Mexico St.,New Mexico St. 77 – Samford 71,0.69,-0.69,HOME,New Mexico St.,0.69,3.7
