Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,A_Team,B_Team,A_AdjOE,B_AdjOE,A_AdjDE,B_AdjDE,A_AdjEM,B_AdjEM,A_AdjTempo,B_AdjTempo,A_HomeCourtAdv,B_HomeCourtAdv,HomeModelSpread,AwayModelSpread,HomeMarketSpread_model,AwayMarketSpread_model,ModelTotal,WinProb_Home_pct,HomeSpreadEdge,AwaySpreadEdge,TotalEdge,EdgeSide,EdgeTeam,EdgePoints
11/19/2025,Arkansas Razorbacks,Winthrop Eagles,Arkansas,Winthrop,Arkansas,Winthrop,-20.5,20.5,167.5,Arkansas,Winthrop,115.917,109.77,97.3407,107.304,18.5762,2.46692,72.9291,74.5273,3.8,2.6,19.91,-19.91,20.5,-20.5,166.4,93.4,-0.59,0.59,-1.1,AWAY,Winthrop,0.59
11/19/2025,Murray St Racers,Arkansas-Little Rock Trojans,Murray St.,Little Rock,Murray St.,Little Rock,-14.5,14.5,160.5,Murray St.,Little Rock,111.073,103.284,106.856,108.098,4.21756,-4.81365,74.6491,69.0432,2.9,2.9,11.93,-11.93,14.5,-14.5,154,83.1,-2.57,2.57,-6.5,AWAY,Little Rock,2.57
11/19/2025,SMU Mustangs,Arkansas-Pine Bluff Golden Lions,SMU,Arkansas Pine Bluff,SMU,Arkansas Pine Bluff,-36.5,36.5,169.5,SMU,Arkansas Pine Bluff,117.445,96.1891,102.15,117.867,15.2953,-21.6782,72.1511,73.9068,3.2,2,40.17,-40.17,36.5,-36.5,156,98,3.67,-3.67,-13.5,HOME,SMU,3.67
11/19/2025,Cornell Big Red,Army Knights,Cornell,Army,Cornell,Army,-15.5,15.5,164.5,Cornell,Army,110.812,97.6751,112.644,115.934,-1.83237,-18.2589,74.4596,70.1297,2.5,2.3,18.93,-18.93,15.5,-15.5,150.7,92.6,3.43,-3.43,-13.8,HOME,Cornell,3.43
11/19/2025,Ole Miss Rebels,Austin Peay Governors,Mississippi,Austin Peay,Mississippi,Austin Peay,-20.5,20.5,148.5,Mississippi,Austin Peay,119.193,99.5431,98.5903,104.545,20.6023,-5.00241,68.3324,72.2231,2.8,2.7,28.4,-28.4,20.5,-20.5,153.7,97.8,7.9,-7.9,5.2,HOME,Mississippi,7.9
11/19/2025,Minnesota Golden Gophers,Chicago St Cougars,Minnesota,Chicago St.,Minnesota,Chicago St.,-25.5,25.5,149.5,Minnesota,Chicago St.,111.051,97.7845,101.839,117.153,9.21146,-19.3683,67.4719,70.7021,2.9,2.6,31.48,-31.48,25.5,-25.5,144.3,98,5.98,-5.98,-5.2,HOME,Minnesota,5.98
11/19/2025,DePaul Blue Demons,Gardner-Webb Bulldogs,DePaul,Gardner Webb,DePaul,Gardner Webb,-21.5,21.5,153.5,DePaul,Gardner Webb,107.149,100.419,102.604,114.388,4.54539,-13.9689,71.0581,73.2687,3,2,21.51,-21.51,21.5,-21.5,149.8,94.6,0.01,-0.01,-3.7,HOME,DePaul,0.01
11/19/2025,Evansville Purple Aces,UT-Arlington Mavericks,Evansville,UT Arlington,Evansville,UT Arlington,-1.5,1.5,142.5,Evansville,UT Arlington,100.264,102.789,108.466,104.237,-8.20204,-1.44775,69.9102,71.3979,3.8,2.5,-2.95,2.95,1.5,-1.5,143.5,40.3,-4.45,4.45,1,AWAY,UT Arlington,4.45
11/19/2025,Texas A&M Aggies,Montana Grizzlies,Texas A&M,Montana St.,Texas A&M,Montana St.,-18.5,18.5,164.5,Texas A&M,Montana St.,113.826,104.663,100.552,108.862,13.2732,-4.19846,72.9169,68.6007,3,3,20.47,-20.47,18.5,-18.5,154.6,93.9,1.97,-1.97,-9.9,HOME,Texas A&M,1.97
11/19/2025,Northern Iowa Panthers,Northern Illinois Huskies,Northern Iowa,Northern Illinois,Northern Iowa,Northern Illinois,-20.5,20.5,144.5,Northern Iowa,Northern Illinois,108.398,103.014,100.551,114.378,7.84757,-11.3649,67.6473,72.1026,3.3,2.2,22.51,-22.51,20.5,-20.5,147.7,95.3,2.01,-2.01,3.2,HOME,Northern Iowa,2.01
11/19/2025,Yale Bulldogs,Rhode Island Rams,Yale,Rhode Island,Yale,Rhode Island,-8.5,8.5,153.5,Yale,Rhode Island,116.819,108.934,104.243,104.526,12.5757,4.40848,70.2153,70.2966,2.3,2.7,10.47,-10.47,8.5,-8.5,158.6,80.1,1.97,-1.97,5.1,HOME,Yale,1.97
11/19/2025,Iowa Hawkeyes,SE Missouri St Redhawks,Iowa,Southeast Missouri,Iowa,Southeast Missouri,-24.5,24.5,149.5,Iowa,Southeast Missouri,117.896,101.19,99.71,107.957,18.186,-6.7677,66.5026,73.8471,3.5,3.2,28.45,-28.45,24.5,-24.5,153.7,97.8,3.95,-3.95,4.2,HOME,Iowa,3.95
11/19/2025,Boise State Broncos,Wichita St Shockers,Boise St.,Wichita St.,Boise St.,Wichita St.,-9.5,9.5,152.5,Boise St.,Wichita St.,114.163,112.952,99.5745,105.301,14.5884,7.65078,70.0988,70.8197,3.4,2.9,10.34,-10.34,9.5,-9.5,160,79.9,0.84,-0.84,7.5,HOME,Boise St.,0.84
11/19/2025,Duke Blue Devils,Kansas Jayhawks,Duke,Kansas,Duke,Kansas,-10.5,10.5,150.5,Duke,Kansas,123.386,115.5,93.6966,94.6059,29.6895,20.8942,70.9825,70.2013,3.3,3.9,12.1,-12.1,10.5,-10.5,168.6,83.4,1.6,-1.6,18.1,HOME,Duke,1.6
11/19/2025,Utah Utes,Fort Wayne Mastodons,Utah,Purdue Fort Wayne,Utah,Purdue Fort Wayne,-13.5,13.5,160.5,Utah,Purdue Fort Wayne,111.532,102.519,104.534,110.201,6.99741,-7.68207,72.1365,72.9634,4.5,2.8,19.18,-19.18,13.5,-13.5,155.3,92.8,5.68,-5.68,-5.2,HOME,Utah,5.68
11/19/2025,Fresno St Bulldogs,Stephen F. Austin Lumberjacks,Fresno St.,Stephen F. Austin,Fresno St.,Stephen F. Austin,2.5,-2.5,147.5,Fresno St.,Stephen F. Austin,104.316,105.759,107.199,104.456,-2.88305,1.30282,72.2194,70.017,2.5,3.2,-1.69,1.69,-2.5,2.5,149.4,44.4,0.81,-0.81,1.9,HOME,Fresno St.,0.81
11/19/2025,San Diego Toreros,Grambling St Tigers,San Diego,Grambling St.,San Diego,Grambling St.,-6.5,6.5,149.5,San Diego,Grambling St.,106.47,100.154,110.293,109.367,-3.82291,-9.21292,71.4554,69.9506,2.1,2,7.49,-7.49,6.5,-6.5,146.1,73.1,0.99,-0.99,-3.4,HOME,San Diego,0.99
11/19/2025,Syracuse Orange,Monmouth Hawks,Syracuse,Monmouth,Syracuse,Monmouth,-21.5,21.5,146.5,Syracuse,Monmouth,115.199,102.261,99.1484,108.242,16.051,-5.98101,71.0248,70.5603,3.2,3.1,25.23,-25.23,21.5,-21.5,153.9,96.7,3.73,-3.73,7.4,HOME,Syracuse,3.73
11/19/2025,Pepperdine Waves,New Orleans Privateers,Pepperdine,New Orleans,Pepperdine,New Orleans,-3.5,3.5,154.5,Pepperdine,New Orleans,103.143,105.539,109.181,107.488,-6.03806,-1.94815,70.6208,71.8719,2.1,2.4,-1.99,1.99,3.5,-3.5,148.7,43.4,-5.49,5.49,-5.8,AWAY,New Orleans,5.49
11/19/2025,Texas Longhorns,Rider Broncs,Texas,Rider,Texas,Rider,-30.5,30.5,143.5,Texas,Rider,114.361,99.5615,97.0622,112.69,17.2993,-13.1281,69.3074,68.4707,3.6,2,34.03,-34.03,30.5,-30.5,147.4,98,3.53,-3.53,3.9,HOME,Texas,3.53
11/19/2025,Washington Huskies,Southern Jaguars,Washington,Southern,Washington,Southern,-20.5,20.5,155.5,Washington,Southern,116.742,104.001,100.397,106.907,16.3445,-2.90591,69.5639,73.3291,3,3.2,22.25,-22.25,20.5,-20.5,157.7,95.1,1.75,-1.75,2.2,HOME,Washington,1.75
11/19/2025,Cal Baptist Lancers,UC Riverside Highlanders,Cal Baptist,UC Riverside,Cal Baptist,UC Riverside,-11.5,11.5,141.5,Cal Baptist,UC Riverside,106.603,101.641,107.443,110.523,-0.840444,-8.88215,69.0001,70.4998,3,2.3,11.04,-11.04,11.5,-11.5,145.3,81.3,-0.46,0.46,3.8,AWAY,UC Riverside,0.46
11/19/2025,California Golden Bears,Presbyterian Blue Hose,California,Presbyterian,California,Presbyterian,-20.5,20.5,145.5,California,Presbyterian,113.446,99.5652,102.517,109.943,10.9288,-10.378,72.2261,65.8291,3.3,2.3,24.61,-24.61,20.5,-20.5,147,96.4,4.11,-4.11,1.5,HOME,California,4.11
11/19/2025,Santa Clara Broncos,Idaho State Bengals,Santa Clara,Idaho St.,Santa Clara,Idaho St.,-17.5,17.5,144.5,Santa Clara,Idaho St.,116.871,105.369,103.925,111.882,12.9454,-6.51298,71.4314,65.9742,2.4,2.6,21.86,-21.86,17.5,-17.5,152.7,94.9,4.36,-4.36,8.2,HOME,Santa Clara,4.36
11/19/2025,Stanford Cardinal,Louisiana Ragin' Cajuns,Stanford,Louisiana,Stanford,Louisiana,-20.5,20.5,138.5,Stanford,Louisiana,109.783,102.278,100.396,110.274,9.38723,-7.99585,72.4298,66.944,3.3,2.5,20.68,-20.68,20.5,-20.5,147.8,94,0.18,-0.18,9.3,HOME,Stanford,0.18
11/19/2025,Nevada Wolf Pack,UC Davis Aggies,Nevada,UC Davis,Nevada,UC Davis,-11.5,11.5,142.5,Nevada,UC Davis,112.244,100.2,104.878,106.203,7.36631,-6.00284,68.059,70.0036,3.9,1.7,17.27,-17.27,11.5,-11.5,146.7,90.9,5.77,-5.77,4.2,HOME,Nevada,5.77
11/19/2025,San Francisco Dons,Northwestern St Demons,San Francisco,Northwestern St.,San Francisco,Northwestern St.,-19.5,19.5,146.5,San Francisco,Northwestern St.,111.299,102.966,101.362,113.935,9.93707,-10.9693,70.1527,68.1241,2.6,2.3,23.51,-23.51,19.5,-19.5,148.1,95.8,4.01,-4.01,1.6,HOME,San Francisco,4.01
11/19/2025,San Diego St Aztecs,Troy Trojans,San Diego St.,Troy,San Diego St.,Troy,-15.5,15.5,138.5,San Diego St.,Troy,113.811,107.066,93.5872,105.417,20.2242,1.64895,69.461,70.8354,3.6,2.8,22.18,-22.18,15.5,-15.5,154.9,95.1,6.68,-6.68,16.4,HOME,San Diego St.,6.68
11/19/2025,UCLA Bruins,Sacramento St Hornets,UCLA,Sacramento St.,UCLA,Sacramento St.,-28.5,28.5,145.5,UCLA,Sacramento St.,116.322,102.455,96.7684,110.967,19.5531,-8.5117,66.6654,71.7736,3.3,2.5,31.36,-31.36,28.5,-28.5,151.4,98,2.86,-2.86,5.9,HOME,UCLA,2.86
