"Season","TeamName","FG2Pct","RankFG2Pct","FG3Pct","RankFG3Pct","FTPct","RankFTPct","BlockPct","RankBlockPct","OppFG2Pct","RankOppFG2Pct","OppFG3Pct","RankOppFG3Pct","OppFTPct","RankOppFTPct","OppBlockPct","RankOppBlockPct","FG3Rate","RankFG3Rate","OppFG3Rate","RankOppFG3Rate","ARate","RankARate","OppARate","RankOppARate","StlRate","RankStlRate","OppStlRate","RankOppStlRate","DFP","NSTRate","RankNSTRate","OppNSTRate","RankOppNSTRate"
2026,"Little Rock",45.2173913043478,299,47.7272727272727,2,56.4102564102564,357,7.4468085106383,243,57.4468085106383,288,41.8918918918919,347,70,149,4.34782608695652,21,27.6729559748428,351,44.0476190476191,278,52.0547945205479,186,62.3529411764706,317,0.0884466556108347,234,0.152324795774215,353,NULL,13.2669983416252,360,8.35329525213439,151
2026,"Long Beach St.",47.1014492753623,273,29.0322580645161,270,62.6865671641791,330,6.10687022900763,291,52.6717557251908,205,34.1463414634146,214,75.8620689655172,281,7.2463768115942,91,40.2597402597403,169,38.4976525821596,151,46.7391304347826,275,52.5773195876289,174,0.0858791429977188,255,0.107348928747149,240,NULL,9.30357382475287,268,10.3770631122244,56
2026,"Longwood",47.008547008547,274,23.943661971831,343,82.5581395348837,13,6.81818181818182,268,57.9545454545455,296,33.3333333333333,186,67.5324675324675,101,10.2564102564103,209,37.7659574468085,216,46.9879518072289,326,52.7777777777778,175,55.8441558441558,242,0.140047849681975,21,0.051350878216724,11,NULL,6.53556631849215,105,7.46921864970532,214
2026,"Louisiana",47.9338842975207,256,30.8510638297872,232,66.1538461538462,288,9.73451327433628,165,52.212389380531,195,36.231884057971,261,70.4,156,9.91735537190083,198,43.7209302325581,104,37.9120879120879,142,41.3793103448276,334,54.7619047619048,221,0.082962962962963,267,0.0869135802469136,109,NULL,10.6666666666667,323,8.69135802469136,131
2026,"Louisiana Monroe",48.5294117647059,246,34.7826086956522,131,63.8888888888889,313,5.29801324503311,320,56.953642384106,282,35.0877192982456,236,72.3076923076923,203,14.7058823529412,333,40.3508771929825,168,43.0188679245283,261,50,217,61.9047619047619,312,0.0893355667225014,226,0.113387450070867,270,NULL,8.24636000515397,203,8.24636000515397,162
2026,"Louisiana Tech",44.7368421052632,304,18.4210526315789,363,60.4166666666667,347,20.3389830508475,10,44.0677966101695,49,26.4150943396226,46,75.5555555555556,271,7.89473684210526,115,33.3333333333333,299,47.3214285714286,331,51.219512195122,203,65,337,0.0915419090302279,211,0.122055878706971,303,NULL,7.62849241918566,172,9.15419090302279,97
2026,"Louisville",65.0793650793651,10,36.4285714285714,94,73.6434108527132,128,7.80141843971631,235,43.9716312056738,48,32.0754716981132,158,72.5,208,11.9047619047619,266,52.6315789473684,11,42.914979757085,259,67.6691729323308,14,42.7083333333333,37,0.144398539970318,18,0.0802214110946212,78,NULL,6.09682724319121,78,7.38036982070515,219
2026,"Loyola Chicago",47.4074074074074,265,34.0425531914894,147,73.109243697479,142,14.8809523809524,44,46.4285714285714,78,41.6,344,80.7339449541284,348,20,362,51.0869565217391,22,42.6621160409556,252,63.3928571428571,43,59.2307692307692,280,0.0695599576591562,314,0.081657341599879,87,NULL,9.37547255406018,275,7.86329956146983,184
2026,"Loyola MD",58.6466165413534,59,27.1739130434783,300,65.2173913043478,301,10.4938271604938,133,53.0864197530864,213,25.6410256410256,34,73.134328358209,221,5.26315789473684,34,40.8888888888889,158,32.5,48,37.8640776699029,352,39.622641509434,23,0.096189419163892,193,0.0813910469848317,85,NULL,8.50906400295967,226,7.76914539400666,196
2026,"Loyola Marymount",53.5483870967742,136,41.7910447761194,24,56.3829787234043,358,7.29166666666667,249,43.75,43,31.3725490196078,142,76.4705882352941,290,6.45161290322581,64,46.3667820069204,71,34.6938775510204,85,57.5539568345324,103,53.448275862069,191,0.0805726412718967,280,0.0920830185964534,145,NULL,8.92054242653142,246,9.20830185964534,93
2026,"Maine",46.031746031746,285,29.4871794871795,256,64.7887323943662,304,11.4649681528662,102,52.2292993630573,196,22.0779220779221,15,65,57,12.6984126984127,292,38.2352941176471,207,32.9059829059829,58,53.0864197530864,170,51.5151515151515,153,0.114554944801146,105,0.103468982401035,221,NULL,9.97736616009977,302,7.02110952007021,230
