Team,AdjOE,AdjDE,AdjEM,AdjTempo
Mercer,104.563,107.654,-3.0907,73.3695
Mercyhurst,94.892,109.005,-14.1133,68.6144
Merrimack,96.0572,107.228,-11.1711,70.4067
Miami FL,113.639,99.5585,14.0804,72.9758
Miami OH,108.333,105.148,3.18479,73.4232
Michigan,118.103,93.7875,24.3154,74.115
Michigan St.,114.514,94.9688,19.5455,70.0664
Middle Tennessee,105.373,105.586,-0.212567,72.1504
Milwaukee,106.927,111.334,-4.40692,73.6546
Minnesota,112.571,101.248,11.323,68.7294
Mississippi,117.621,96.9189,20.7024,70.2029
Mississippi St.,117.718,98.7757,18.9425,72.2304
Mississippi Valley St.,85.1135,120.502,-35.3887,71.265
Missouri,120.814,100.049,20.7649,71.4961
Missouri St.,103.102,106.16,-3.05753,71.0856
Monmouth,102.201,108.237,-6.0356,71.2688
Montana,108.216,109.228,-1.01163,72.8448
Montana St.,104.292,110.692,-6.40037,70.1133
Morehead St.,100.122,110.22,-10.0976,70.7655
Morgan St.,96.3146,113.456,-17.1409,73.9631
Mount St. Mary's,98.8384,107.423,-8.58483,70.442
Murray St.,108.64,105.547,3.09367,74.5497
N.C. State,118.934,97.0883,21.8461,71.9143
Navy,105.104,107.342,-2.23771,71.4185
Nebraska,114.561,98.1623,16.399,72.2099
Nebraska Omaha,106.567,111.156,-4.58879,71.1599
Nevada,109.986,101.438,8.54744,68.733
New Hampshire,97.0807,115.276,-18.1948,72.2681
New Haven,93.027,113.514,-20.4871,68.5251
New Mexico,106.587,98.31,8.27744,71.3859
New Mexico St.,104.72,103.948,0.772525,70.1165
New Orleans,101.511,108.764,-7.25287,73.3987
Niagara,98.8302,110.851,-12.0206,67.8719
Nicholls,98.152,105.97,-7.81786,69.9488
NJIT,93.5156,109.164,-15.6489,70.6794
Norfolk St.,101.187,107.745,-6.55874,69.5067
North Alabama,103.504,109.692,-6.18821,71.0619
North Carolina,118.054,97.0115,21.0425,74.9606
North Carolina A&T,96.8368,110.756,-13.9193,74.6058
North Carolina Central,99.2071,115.28,-16.0728,70.1394
North Dakota,101.444,114.951,-13.5068,71.4726
North Dakota St.,104.966,108.26,-3.29445,70.7112
North Florida,101.32,116.405,-15.0848,74.3436
North Texas,107.516,98.1407,9.37494,67.6261
Northeastern,103.903,105.132,-1.22939,70.0236
Northern Arizona,101.701,110.479,-8.77791,70.5503
Northern Colorado,106.595,110.244,-3.64847,72.9298
Northern Illinois,102.173,113.32,-11.1463,72.7801
Northern Iowa,107.818,101.284,6.53389,68.7824
Northern Kentucky,99.4156,109.575,-10.1597,71.1159
Northwestern,113.791,96.3196,17.4716,69.5959
Northwestern St.,102.409,112.828,-10.4191,68.7295
Notre Dame,114.207,101.362,12.8453,68.9593
Oakland,107.18,110.473,-3.29295,70.4685
Ohio,105.677,108.314,-2.63675,72.9909
Ohio St.,120.435,101.15,19.2851,71.7782
Oklahoma,115.102,101.029,14.0729,71.2598
Oklahoma St.,113.245,97.6642,15.5811,75.5552
Old Dominion,103.972,108.5,-4.52823,69.4531
Oral Roberts,103.786,113.641,-9.85522,73.7217
Oregon,110.22,95.7529,14.4675,71.8634
Oregon St.,108.658,106.829,1.82905,68.074
Pacific,107.553,108.459,-0.90606,70.8164
Penn,104.327,114.221,-9.89428,74.7282
Penn St.,110.527,101.202,9.32423,70.8051
Pepperdine,103.46,108.388,-4.92812,70.9591
Pittsburgh,112.173,98.5868,13.586,69.5196
Portland,101.361,109.277,-7.91643,73.4307
Portland St.,103.791,105.819,-2.02811,73.384
Prairie View A&M,96.2733,111.471,-15.1979,74.4323
Presbyterian,99.641,110.309,-10.6676,66.6602
Princeton,102.878,108.32,-5.44249,71.3678
Providence,115.2,102.204,12.9956,73.9024
Purdue,125.299,98.1372,27.1613,69.0513
Purdue Fort Wayne,101.646,109.161,-7.51546,73.3443
Queens,106.324,110.879,-4.55488,72.5903
