Team,AdjOE,AdjDE,AdjEM,AdjTempo,HomeCourtAdv
McNeese,110.934,103.038,7.89567,69.702,2.5
Memphis,112.147,100.656,11.4918,73.8486,3.4
Mercer,103.89,109.969,-6.07857,73.337,2.7
Mercyhurst,97.0951,110.384,-13.2894,67.9838,2.4
Merrimack,101.088,109.406,-8.31773,69.5539,1.9
Miami FL,113.238,99.4911,13.7471,72.6018,2.9
Miami OH,109.307,105.053,4.25418,72.3304,3.1
Michigan,117.509,93.2954,24.2134,72.7796,3.1
Michigan St.,115.144,95.6274,19.5165,69.383,3.1
Middle Tennessee,106.208,106.406,-0.197743,71.4639,3.7
Milwaukee,107.948,111.753,-3.80443,72.6347,3.4
Minnesota,111.051,101.839,9.21146,67.4719,2.9
Mississippi,119.193,98.5903,20.6023,68.3324,2.8
Mississippi St.,116.603,99.8611,16.7424,72.255,3.8
Mississippi Valley St.,89.5712,121.221,-31.6503,68.2177,2.5
Missouri,121.044,101.71,19.3342,71.32,3.6
Missouri St.,100.917,106.328,-5.41076,69.9261,3.2
Monmouth,102.261,108.242,-5.98101,70.5603,3.1
Montana,109.246,109.675,-0.429405,72.532,2.9
Montana St.,104.663,108.862,-4.19846,68.6007,3.0
Morehead St.,100.801,111.051,-10.2505,69.8213,2.9
Morgan St.,98.224,116.794,-18.5701,72.7994,2.8
Mount St. Mary's,99.2181,107.25,-8.03195,69.6453,2.1
Murray St.,111.073,106.856,4.21756,74.6491,2.9
N.C. State,120.296,98.6791,21.6165,71.0564,3.4
Navy,105.718,107.946,-2.22827,71.0159,1.6
Nebraska,119.262,102.154,17.1078,71.5315,3.3
Nebraska Omaha,107.77,112.759,-4.98913,70.9102,3.5
Nevada,112.244,104.878,7.36631,68.059,3.9
New Hampshire,96.2977,113.702,-17.4047,71.3641,2.4
New Haven,93.0442,111.941,-18.8973,67.7536,2.2
New Mexico,107.777,100.733,7.04306,70.3555,4.3
New Mexico St.,107.432,104.896,2.53537,68.7395,3.6
New Orleans,105.539,107.488,-1.94815,71.8719,2.4
Niagara,99.0711,111.895,-12.8239,67.1394,2.5
Nicholls,99.7945,108.374,-8.57998,69.8031,2.7
NJIT,95.5078,110.033,-14.5256,70.6722,2.3
Norfolk St.,99.3719,106.446,-7.07445,67.7763,3.3
North Alabama,104.847,111.672,-6.82508,69.6031,2.8
North Carolina,119.183,97.9379,21.2447,73.736,3.4
North Carolina A&T,97.5044,111.686,-14.1813,74.0601,3.5
North Carolina Central,99.4714,116.114,-16.6429,68.9486,3.5
North Dakota,101.926,114.262,-12.3365,71.4402,2.8
North Dakota St.,106.661,108.623,-1.96275,70.8627,2.7
North Florida,102.151,117.212,-15.0608,73.6231,2.5
North Texas,106.18,99.4496,6.7307,67.6169,3.1
Northeastern,104.442,107.415,-2.9732,70.1972,2.1
Northern Arizona,102.821,111.57,-8.74957,70.0944,2.9
Northern Colorado,107.265,109.721,-2.4561,72.5569,2.7
Northern Illinois,103.014,114.378,-11.3649,72.1026,2.2
Northern Iowa,108.398,100.551,7.84757,67.6473,3.3
Northern Kentucky,100.167,110.274,-10.1066,70.4265,2.9
Northwestern,115.697,98.94,16.7571,68.3991,2.8
Northwestern St.,102.966,113.935,-10.9693,68.1241,2.3
Notre Dame,113.74,99.6706,14.0696,67.867,2.8
Oakland,109.303,110.919,-1.616,70.1503,2.5
Ohio,106.958,109.492,-2.53443,72.3971,3.6
Ohio St.,118.933,100.482,18.4512,70.7873,3.5
Oklahoma,119.294,105.734,13.5604,70.6293,4.1
Oklahoma St.,113.287,98.6655,14.6217,75.4194,3.8
Old Dominion,105.198,110.451,-5.25252,69.2708,3.1
Oral Roberts,102.65,114.09,-11.4407,72.8662,3.2
Oregon,112.259,97.8572,14.4015,71.2218,3.3
Oregon St.,110.508,108.952,1.55588,67.4914,3.3
Pacific,107.763,108.221,-0.457991,70.7696,2.5
Penn,105.761,113.648,-7.88714,74.0627,2.3
Penn St.,113.068,102.849,10.2193,69.5009,3.4
Pepperdine,103.143,109.181,-6.03806,70.6208,2.1
Pittsburgh,111.263,98.9768,12.2858,68.0552,3.1
Portland,100.858,111.427,-10.5692,72.3385,1.8
Portland St.,106.401,107.512,-1.11105,73.1803,2.9
Prairie View A&M,97.5099,111.407,-13.8967,74.1757,2.4
Presbyterian,99.5652,109.943,-10.378,65.8291,2.3
Princeton,102.835,108.154,-5.31927,70.7141,2.1
Providence,115.951,103.923,12.0278,74.4483,3.2
Purdue,128.029,99.417,28.6116,67.7912,3.5
Purdue Fort Wayne,102.519,110.201,-7.68207,72.9634,2.8
Queens,107.126,109.933,-2.8069,71.348,2.8
Quinnipiac,101.856,107.447,-5.59167,73.378,2.3
Radford,105.324,111.085,-5.7615,72.2832,2.3
Rhode Island,108.934,104.526,4.40848,70.2966,2.7
Rice,106.585,109.822,-3.23722,68.4474,2.4
Richmond,110.252,106.103,4.14868,70.0844,2.8
Rider,99.5615,112.69,-13.1281,68.4707,2.0
Robert Morris,105.225,109.798,-4.57284,70.5976,2.8
Rutgers,110.349,101.339,9.00956,69.9232,3.9
Sacramento St.,102.455,110.967,-8.5117,71.7736,2.5
Sacred Heart,104.202,114.195,-9.99298,71.3375,2.3
Saint Francis,96.3491,114.384,-18.0347,71.859,2.4
Saint Joseph's,104.418,105.058,-0.640756,71.5658,3.1
Saint Louis,113.489,99.4155,14.0737,74.7342,4.0
Saint Mary's,116.811,95.6957,21.1152,66.9492,2.7
Saint Peter's,100.259,110.827,-10.5678,67.2642,2.6
Sam Houston St.,107.879,109.85,-1.97092,71.5409,2.9
Samford,109.096,111.824,-2.72712,69.066,2.9
San Diego,106.47,110.293,-3.82291,71.4554,2.1
San Diego St.,113.811,93.5872,20.2242,69.461,3.6
San Francisco,111.299,101.362,9.93707,70.1527,2.6
San Jose St.,107.789,110.034,-2.24471,68.2803,3.0
Santa Clara,116.871,103.925,12.9454,71.4314,2.4
Seattle,107.013,103.159,3.85364,71.0725,2.9
Seton Hall,107.772,98.6874,9.08435,67.5089,3.1
Siena,104.647,106.631,-1.98413,68.673,2.7
SIUE,100.199,103.163,-2.96441,68.5604,2.8
SMU,117.445,102.15,15.2953,72.1511,3.2
South Alabama,103.816,107.682,-3.86607,67.2464,2.5
South Carolina,111.957,104.159,7.79759,69.0201,3.3
South Carolina St.,94.827,112.662,-17.8349,73.1874,3.0
South Dakota,104.447,113.112,-8.66546,74.4029,3.0
South Dakota St.,107.049,108.207,-1.15796,70.3097,3.5
South Florida,114.584,103.702,10.8827,74.5888,2.7
Southeast Missouri,101.19,107.957,-6.7677,73.8471,3.2
Southeastern Louisiana,99.1774,105.527,-6.35009,69.7206,2.2
Southern,104.001,106.907,-2.90591,73.3291,3.2
Southern Illinois,109.089,106.857,2.23191,73.5717,3.0
Southern Indiana,98.4858,110.385,-11.8991,73.474,2.8
Southern Miss,104.372,111.62,-7.24804,70.6265,2.9
Southern Utah,101.475,113.197,-11.7219,72.7708,2.9
St. Bonaventure,111.278,106.836,4.44189,67.936,3.9
St. John's,118.893,96.2646,22.6283,75.1038,3.3
St. Thomas,107.613,109.198,-1.58516,70.2898,3.3
Stanford,109.783,100.396,9.38723,72.4298,3.3
Stephen F. Austin,105.759,104.456,1.30282,70.017,3.2
Stetson,97.4301,115.518,-18.0879,71.9913,2.2
Stonehill,95.7672,110.208,-14.4409,70.0364,2.3
Stony Brook,105.846,112.17,-6.32414,68.9338,2.5
Syracuse,115.199,99.1484,16.051,71.0248,3.2
Tarleton St.,104.076,109.903,-5.82647,70.3092,3.2
TCU,110.013,100.095,9.91772,70.6025,4.5
Temple,111.026,107.37,3.65547,70.3455,2.9
Tennessee,117.729,93.1326,24.5965,69.5855,3.6
Tennessee Martin,101.584,107.327,-5.74265,72.1731,2.6
Tennessee St.,103.334,109.554,-6.22027,73.3845,3.5
Tennessee Tech,96.636,110.628,-13.9924,70.3719,2.8
Texas,114.361,97.0622,17.2993,69.3074,3.6
Texas A&M,113.826,100.552,13.2732,72.9169,3.0
Texas A&M Corpus Chris,100.312,107.624,-7.31263,70.7286,2.7
Texas Southern,99.8569,112.284,-12.4266,72.3085,2.5
Texas St.,102.289,107.415,-5.12532,68.9416,2.4
Texas Tech,121.431,97.5308,23.9,68.5633,4.2
The Citadel,102.085,119.599,-17.5141,70.0783,2.6
Toledo,111.632,114.611,-2.97838,70.1355,2.3
Towson,103.491,100.893,2.59866,66.8398,2.6
Troy,107.066,105.417,1.64895,70.8354,2.8
Tulane,110.091,109.545,0.545771,68.726,2.7
Tulsa,112.364,107.068,5.29643,70.2145,3.6
UAB,110.656,104.471,6.18565,74.7515,3.5
UC Davis,100.2,106.203,-6.00284,70.0036,1.7
UC Irvine,102.399,100.403,1.99559,73.0336,2.1
UC Riverside,101.641,110.523,-8.88215,70.4998,2.3
UC San Diego,108.268,105.73,2.53755,70.4591,1.9
